NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR,ORBITAL_PERIOD,SEMI_MAJOR_AXIS,ORBITAL_VELOCITY,PERIGEE_ALTITUDE,APOGEE_ALTITUDE
14839,1754706238,11.92573472,0.0999743,28.9943,149.8841,169.0197,315.4971,2523.319,905.251,-0.00088254,7244.836651875483,8092.419942024269,6.35407900472566,-5465.749,-3847.681
14865,1754693963,14.80408645,0.0002578,74.0189,79.5224,203.2307,221.695,629.843,626.23,0.00053655,5836.226388694184,7006.171537805595,7.548467804995397,-5744.77,-5741.157
14879,1754560624,12.15582604,0.0213649,101.2555,171.6316,297.7506,182.1401,1782.547,1441.137,0.00048215,7107.702900295864,7989.976900881814,6.919967351758241,-4929.863,-4588.4529999999995
14880,1754642382,12.30511581,0.0152136,101.181,179.1448,254.7069,262.5599,1667.657,1426.515,0.00045619,7021.469877576064,7925.220806331699,6.991117210614583,-4944.485,-4703.343
14881,1754640364,12.42186904,0.0065518,101.7341,173.468,207.4975,308.7717,1548.947,1445.75,0.00017491,6955.47503534138,7875.48321913394,7.074215670812626,-4925.25,-4822.053
14883,1754531651,12.00144777,0.0252916,102.0235,84.4564,338.1635,184.9048,1884.023,1476.406,0.0051245,7199.131442789256,8058.349173141007,6.863478156868988,-4894.594,-4486.977
14904,1754170148,12.72925514,0.0008759,102.7283,96.0041,334.8227,90.6885,1376.834,1363.261,0.0017763,6787.514198572345,7748.182599168445,7.172796402713648,-5007.739,-4994.166
14905,1754680305,12.0735438,0.0184566,102.3049,288.0175,188.7672,291.7117,1796.239,1499.965,0.0024025,7156.142507223108,8026.237378984126,6.924407161631793,-4871.035,-4574.761
14906,1754612991,13.72922514,0.0127258,65.9487,231.8562,269.5302,109.5329,1082.853,895.345,0.00037522,6293.144669051585,7367.234437797122,7.269596236123795,-5475.655,-5288.147
14907,1754713034,13.54958924,0.0078242,66.0294,7.3697,240.3475,302.9822,1112.222,995.92,0.00018108,6376.577065888973,7432.206279196829,7.273256512745955,-5375.08,-5258.778
14908,1754733150,14.15794353,0.0090155,99.1027,273.5654,332.2988,27.3398,904.685,774.542,0.00074088,6102.581198810587,7217.748150868432,7.371941327095814,-5596.458,-5466.3150000000005
14909,1754670509,14.04217999,0.013497,98.7304,274.6866,1.9775,123.5092,977.18,781.275,0.0011916,6152.890794843031,7257.362523044926,7.318877925289736,-5589.725,-5393.82
14910,1754728438,14.25771674,0.0015387,99.0754,184.426,331.6357,191.9993,816.955,794.847,0.00052884,6059.876316493576,7184.036328252767,7.4447091192154655,-5576.153,-5554.045
14913,1754677914,14.30004764,0.0091153,98.7882,249.3822,3.6602,58.5358,857.072,726.362,0.0003439,6041.937913432014,7169.8519019923615,7.395834633858884,-5644.638,-5513.928
14914,1754679690,14.4178999,0.0043886,98.5866,249.6498,126.145,289.2932,783.886,721.299,0.00036988,5992.5509678424105,7130.727452029274,7.451275062328747,-5649.701,-5587.114
14919,1754554719,12.30392317,0.0729405,65.801,227.9475,214.0623,259.9354,2125.705,969.491,8.9464e-05,7022.150480479634,7925.732934727377,6.59793722287456,-5401.509,-4245.295
14925,1754689947,14.32057794,0.0016157,82.8548,183.5705,314.4153,45.5711,796.436,773.289,0.0013251,6033.2760564550235,7162.997690526204,7.455081341696577,-5597.711,-5574.564
14928,1754680603,15.3361489,0.0022865,97.7764,158.6924,76.9879,283.3913,480.687,449.393,0.00028162,5633.7481178211565,6843.174748029023,7.622542453059901,-5921.607,-5890.313
14950,1754663118,14.09080075,0.0041867,81.2546,272.6853,114.8916,3.6845,892.838,832.209,5.5413e-06,6131.660047779755,7240.658399341543,7.395874651746025,-5538.791,-5478.162
15033,1754665146,14.49286539,0.0012871,74.0688,294.3898,236.8876,251.2938,737.128,718.835,0.00024106,5961.554025031899,7106.116704293198,7.48737868085657,-5652.165,-5633.872
15166,1753966058,2.42613468,0.6981271,7.3582,14.866,267.4277,18.1756,33349.749,684.217,0.0028261,35612.20269931593,23395.11786071515,1.7413717555290857,-5686.783,26978.749000000003
15205,1754709567,10.95666497,0.1912947,28.7388,29.6818,242.1339,97.264,3822.694,546.654,0.0002595,7885.6111998101915,8562.808928821056,5.62628667339967,-5824.346,-2548.306
15330,1754688382,13.89910863,0.0020755,65.0551,282.8658,54.9392,125.1512,944.111,913.779,2.7213e-05,6216.225968154045,7307.080219236361,7.377677085884606,-5457.221,-5426.889
15340,1754684924,12.98865024,0.0037713,90.2386,358.8726,129.7395,23.2488,1295.373,1237.712,0.0023701,6651.961397337619,7644.677340641232,7.200402486355867,-5133.2880000000005,-5075.627
15490,1754673172,14.63181118,0.0001957,74.0298,214.8372,26.6848,333.442,684.305,681.541,0.00034695,5904.9422478947,7061.058061737503,7.51948057971989,-5689.459,-5686.695
15491,1754734704,14.50264644,0.0015074,74.0393,220.9305,2.5006,357.6227,735.493,714.079,0.00032553,5957.533361752423,7102.921282998367,7.487416656292993,-5656.921,-5635.507
15503,1754705876,13.87541121,0.0012383,64.9926,252.2432,58.3309,301.8959,946.321,928.204,1.6169e-05,6226.842483610978,7315.397555797227,7.379649443798054,-5442.796,-5424.679
15519,1754665978,13.06982746,0.0875081,62.3768,346.2188,221.4839,131.6475,1901.054,568.657,0.00039828,6610.645799604152,7612.990218156164,6.6343689163663315,-5802.343,-4469.946
15521,1754682141,14.09590774,0.0055301,81.2159,132.1441,274.3239,157.5967,900.806,820.743,3.7915e-05,6129.438528802403,7238.909418764944,7.386839968873648,-5550.257,-5470.1939999999995
15523,1754394916,12.47619563,0.0744141,65.9333,3.7522,359.8029,65.8373,2058.814,890.125,-7.8938e-05,6925.187978957653,7852.604489746571,6.61883138831161,-5480.875,-4312.186
15528,1754656204,14.63301445,0.000916,74.0219,315.3735,121.8416,249.7818,689.004,676.068,0.00033302,5904.456685614768,7060.6709701231,7.514272244765597,-5694.932,-5681.996
15529,1754710430,12.99107004,0.0033618,90.2368,359.489,84.2354,99.9822,1291.29,1239.896,-0.0016297,6650.722360357623,7643.728013424043,7.203799800288339,-5131.104,-5079.71
15530,1754735773,12.98531237,0.0034598,90.2723,24.5842,128.7695,259.5947,1294.306,1241.399,0.0022475,6653.671281686695,7645.987325613285,7.202027774163972,-5129.601000000001,-5076.6939999999995
15535,1754731855,14.46211462,0.038628,62.3927,214.4321,125.6886,238.0785,1012.935,463.167,0.00086579,5974.230067331606,7116.186287242539,7.207705804402623,-5907.833,-5358.0650000000005
15540,1754731451,11.67855349,0.0559753,102.6871,192.9252,162.7736,358.2504,2287.417,1368.727,0.0080804,7398.17650139478,8206.207076935983,6.59540123909395,-5002.273,-4083.583
15541,1754673873,13.86608165,0.0032806,82.8879,214.5263,164.5199,13.8661,964.553,916.534,0.00025074,6231.03210992559,7318.67854947259,7.362939135814272,-5454.466,-5406.447
15542,1754672442,13.81425675,0.0073246,83.0034,296.8186,158.3228,330.6055,1012.577,905.096,0.00063639,6254.408149754419,7336.9713914817685,7.324057249134313,-5465.904,-5358.423
15555,1754718138,12.53191088,0.0965874,65.7866,310.9859,302.1087,48.9673,2207.391,694.965,0.00050218,6894.399491612088,7829.312769165081,6.4822827405557595,-5676.035,-4163.609
15558,1754518027,14.04722831,0.0063329,65.588,291.1214,234.5982,124.9168,923.438,831.54,0.00011263,6150.6795570833865,7255.623642254612,7.372388446426769,-5539.46,-5447.562
15559,1754560394,13.6519758,0.0122017,65.5785,272.8099,169.2202,210.3114,1107.096,926.633,0.00020139,6328.754259877899,7394.999826594054,7.2597140675264535,-5444.367,-5263.904
