NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR
36528,1754241883,14.29803131,0.0084906,74.0222,23.7932,103.3255,257.738,853.273,731.509,0.00060557
36533,1754706041,14.492362,0.0048476,74.0134,350.9242,170.218,189.9936,762.595,693.698,0.00042305
36539,1754711598,14.58140935,0.0027083,74.024,294.4824,104.6618,255.7552,718.353,680.018,0.00047707
36540,1754656276,14.56705856,0.0016723,74.0286,60.5098,162.0062,198.1698,715.676,691.989,0.00077378
36550,1754637059,14.26635153,0.0079168,74.0428,61.3459,142.474,218.1971,859.854,746.151,0.00048025
36551,1754657429,14.97051022,0.0052212,73.8874,273.3308,255.0325,104.5076,612.325,539.707,0.0006389
36557,1754451627,14.73100959,0.0024355,73.9818,18.5988,188.5202,171.5561,668.308,634.068,0.0015235
36558,1754679936,14.54182036,0.0013641,74.0436,32.7369,150.0088,210.1858,721.696,702.353,0.00061092
36571,1754685470,14.81596406,0.000241,98.0034,186.7857,106.469,253.6787,625.979,622.604,0.00059383
36594,1754670268,5.11452646,0.5299,49.3917,206.2613,156.6656,240.8714,15392.007,311.285,0.00086068
36601,1754684117,14.51461035,0.0016009,98.3237,60.0897,254.2967,105.6462,732.247,709.518,0.00014514
36602,1754681791,14.76065522,0.0014923,97.9772,58.8344,319.3106,40.6987,652.249,631.297,0.00038152
36614,1754682991,14.58213463,0.0018553,74.0222,54.7082,156.9776,203.2224,712.081,685.82,0.0012161
36622,1754543588,14.74598966,0.00708101,74.0145,35.1706,202.7206,157.0831,696.168,596.686,0.00051527957
36632,1754537332,14.42309062,0.0035945,74.0024,169.6677,307.7829,52.0073,776.507,725.256,0.00058347
36644,1754687051,13.58830572,0.0287196,98.414,17.0307,150.6318,211.1315,1252.991,826.903,0.0015464
36645,1754473024,13.57694063,0.029884,98.4981,21.5631,18.2648,342.8959,1265.892,822.281,0.0012823
36647,1754371154,13.87744021,0.0241704,96.1197,42.1508,318.3964,39.9028,1113.348,759.751,0.00099793
36652,1754410046,14.21504211,0.0051452,98.9476,298.0292,5.7524,354.4232,857.309,783.235,0.0012552
36657,1754446898,14.63849852,0.0109094,99.3985,350.737,96.8331,264.5294,757.781,603.764,0.00066049
36659,1754631918,13.87108602,0.0137394,99.8498,216.905,48.0157,313.2606,1039.313,838.253,0.00057801
36660,1754335536,14.14001695,0.0046184,98.6173,221.9213,243.8821,115.7596,879.075,812.35,0.00034559
36664,1754680254,14.17877009,0.0173893,98.6185,249.1166,102.5091,259.5599,957.932,707.155,0.00010174
36668,1754549382,14.1498259,0.00506445,98.6138,234.0186,230.6178,129.0505,878.941,805.806,0.00046892349
36676,1754436223,14.42622565,0.0096496,98.7766,113.7356,155.5452,217.5723,818.631,681.066,0.00027064
36678,1754504810,14.37647844,0.0152637,98.2776,205.6414,17.2629,343.3669,875.333,657.232,0.00032373
36679,1754547524,14.04342138,0.0087409,98.8298,218.8175,90.1367,270.9817,942.232,815.368,0.00033721
36680,1754631538,14.18183169,0.0189065,98.54,216.9209,254.8763,116.8085,967.815,695.197,0.00024885
36681,1754674033,14.09904068,0.0044585,98.6937,223.5216,348.3551,11.6585,891.972,827.432,0.0004924
36682,1753681558,13.69616478,0.0233644,98.4854,129.1536,284.3065,73.2246,1173.358,828.542,0.00097757
36684,1754709231,14.86875536,0.0028349,99.4638,288.6537,134.1608,226.194,627.511,587.903,0.0038688
36685,1754426466,15.44162466,0.0028646,98.8256,78.3925,349.2861,10.7769,453.356,414.329,0.0020898
36686,1754544327,14.74742486,0.0110055,99.0051,36.1635,91.9698,269.4115,723.275,568.667,0.00085823
36687,1754696040,14.04407448,0.0090391,98.7195,312.4092,258.3205,100.7808,944.169,812.981,0.00021322
36689,1754564158,13.73475117,0.0312056,98.4832,127.405,278.9576,77.6379,1216.961,757.286,0.001042
36691,1754244000,14.05799998,0.0128675,98.6344,221.7943,244.7301,114.0488,967.096,780.468,0.0013574
36692,1754262462,13.93259735,0.01150278,100.0014,111.5902,359.4424,0.6588,1001.149,833.315,0.00028762592
36695,1754626424,14.43217508,0.0258787,98.2058,205.7939,154.991,206.4082,932.302,563.477,0.00012164
36696,1754563608,14.37219355,0.00236,98.9918,222.5007,348.8259,11.2399,784.567,750.838,0.0015809
36699,1754546303,14.24056171,0.0095004,98.5517,217.0814,141.4375,219.3641,879.976,743.364,0.00017784
36701,1754654685,13.70235013,0.0258302,102.7417,134.1342,179.2306,180.9274,1189.275,808.184,0.0013193
36707,1754425566,14.16776068,0.0050774,98.7671,265.894,129.9202,230.6451,872.909,799.648,0.00059977
36710,1754558210,14.48051312,0.0069121,98.3936,277.3338,208.8558,150.8805,781.168,682.876,0.00094711
36711,1754630144,14.39155896,0.0103211,100.802,206.5058,198.1088,161.6404,834.977,687.604,0.0013326
36716,1754180146,13.88290633,0.014811,99.2213,135.514,223.2917,135.6525,1042.939,826.32,0.00014053
36724,1754611479,14.23936785,0.0103873,99.4797,241.8177,196.2621,194.7151,886.758,737.385,0.0011822
36729,1753806083,14.10140651,0.0045116,98.6909,196.8989,282.5778,77.0349,891.543,826.242,0.00025265
36734,1754400915,14.24696738,0.0034771,99.0629,260.2961,229.6381,130.1759,834.507,784.522,0.0012058
36736,1754735607,14.24251531,0.00628,98.8147,294.4758,141.9303,218.6338,856.16,765.864,0.0012587
36743,1753262099,14.27980607,0.0050353,98.6673,253.7113,70.216,290.4441,834.627,762.354,0.0012059
36794,1754553915,4.89775601,0.5463976,49.4923,87.1159,296.2522,18.3244,16271.345,265.602,0.00046176
36857,1754693443,14.21029471,0.0046694,82.5376,116.2664,324.1392,35.6656,855.495,788.256,0.00081472
36858,1754353738,14.22107223,0.0044698,82.5128,131.2512,73.9958,286.614,850.403,786.071,0.0021297
36859,1753362866,14.20861175,0.0035062,82.522,133.5699,27.615,332.6883,847.691,797.197,0.0011064
36860,1754487456,14.17900023,0.0024786,82.5221,157.7686,266.1836,93.6509,850.338,814.593,0.00043988
36861,1754689889,14.26924915,0.0025011,82.5005,92.6933,286.8899,72.9543,819.988,784.072,0.0018428
36862,1754657398,14.22136392,0.00247,82.5416,150.3463,53.3341,307.0106,835.914,800.364,0.0013315
36863,1754700297,14.21008508,0.0010436,82.5312,133.5932,346.5482,13.5418,829.46,814.432,0.0012604
